DTE1,DTE2,Count,Average,pDelta
80,74,2,0.00257086,-0.872745
106,100,7,0.00256779,-0.850199
36,32,73,0.00256446,-0.546331
381,372,97,0.00256128,-0.709646
99,90,3,0.00256032,-0.89553
346,322,46,0.00255501,-0.885197
83,72,2,0.00255258,-0.825445
18,14,230,0.00254753,-0.437113
135,112,127,0.00254372,-0.684972
87,76,5,0.00254151,-0.695552
534,524,73,0.00254007,-0.606727
31,26,135,0.00253854,-0.56438
346,315,46,0.00253615,-0.885197
86,51,164,0.00253594,-0.790105
108,105,13,0.0025327,-0.556452
76,55,1,0.00252164,-0.85602
86,57,164,0.00251832,-0.790105
268,267,91,0.00251795,-0.556215
381,373,97,0.00250979,-0.709646
121,118,1,0.00250451,-0.99732
77,70,34,0.00250254,-0.385462
51,36,2,0.00249508,-0.91342
62,37,1,0.00248961,-0.89046
86,65,164,0.00248865,-0.790105
77,55,3,0.0024886,-0.804313
80,73,7,0.00248773,-0.889009
210,209,1,0.00248741,-0.9868
45,34,2,0.00248674,-0.95417
318,315,2,0.00248617,-0.64407
409,393,1,0.00247869,-1
135,114,127,0.00247696,-0.684972
58,53,3,0.00247138,-0.914063
76,57,1,0.00245728,-0.85602
367,350,52,0.00244936,-0.759513
20,17,14,0.00244727,-0.766292
135,104,127,0.00244678,-0.684972
60,56,54,0.00244337,-0.641164
72,71,118,0.00244006,-0.696452
436,427,61,0.00243675,-0.550883
62,57,1,0.00243478,-0.85037
135,106,127,0.00243319,-0.684972
177,163,97,0.00243251,-0.586842
163,160,102,0.00242329,-0.687065
360,351,80,0.00241921,-0.446996
49,42,481,0.00241831,-0.501247
86,69,159,0.00241812,-0.793863
346,311,46,0.00241632,-0.885197
346,317,46,0.00241337,-0.885197
534,525,73,0.00241164,-0.606727
268,254,91,0.0024108,-0.556215
177,170,97,0.00240914,-0.586842
135,118,128,0.00240874,-0.685623
319,316,127,0.00240776,-0.470741
100,94,1,0.00240594,-0.97902
268,261,91,0.00240476,-0.556215
59,43,6,0.00239142,-0.937052
381,351,97,0.00238967,-0.709646
6,3,135,0.00238916,-0.611045
30,26,138,0.00238892,-0.506144
358,332,13,0.00237974,-0.974678
107,105,9,0.00237395,-0.687646
254,224,73,0.00236469,-0.620796
717,707,74,0.00236287,-0.603188
72,42,125,0.00236221,-0.664855
76,63,1,0.00235764,-0.85602
346,326,46,0.00235476,-0.885197
9,5,358,0.00235403,-0.400567
358,317,13,0.00235378,-0.974678
436,428,61,0.00235177,-0.550883
51,29,2,0.00234257,-0.91342
106,90,7,0.00234111,-0.850199
346,323,46,0.0023398,-0.885197
10,8,361,0.00233814,-0.439017
76,51,1,0.00233377,-0.85602
62,51,2,0.00232605,-0.870415
561,549,1,0.00231982,-1
177,147,97,0.00231968,-0.586842
436,406,53,0.00231942,-0.624927
56,51,1,0.00231771,-0.98357
13,10,1425,0.00231582,-0.454943
332,329,1,0.00231132,-0.64236
106,93,7,0.00231129,-0.850199
91,85,28,0.00231117,-0.32133
268,238,91,0.00231102,-0.556215
534,526,73,0.00231074,-0.606727
358,318,13,0.00230981,-0.974678
59,48,3,0.00230879,-0.933947
86,64,164,0.00230813,-0.790105
72,65,124,0.00230664,-0.670199
268,244,91,0.00230653,-0.556215
177,153,97,0.00230544,-0.586842
343,339,2,0.00230517,-0.91252
135,113,127,0.00230283,-0.684972
86,52,164,0.00230141,-0.790105
135,100,127,0.00229969,-0.684972
106,99,7,0.00229922,-0.850199
351,339,1,0.0022988,-1
56,45,1,0.00229403,-0.98357
177,157,97,0.00229346,-0.586842
60,59,37,0.00228953,-0.692204
58,51,2,0.00228015,-0.915595
28,24,306,0.00227937,-0.587144
268,248,91,0.00227726,-0.556215
135,129,128,0.00226672,-0.685623
534,504,71,0.00226614,-0.622701
4,0,439,0.00226519,-0.604341
72,48,124,0.0022576,-0.662981
45,38,116,0.00225747,-0.60303
358,352,9,0.00225408,-0.970749
38,35,285,0.0022505,-0.41398
109,106,45,0.0022496,-0.33907
86,80,161,0.00224795,-0.794854
5,0,655,0.00224743,-0.658933
358,340,13,0.00224685,-0.974678
72,58,127,0.00224583,-0.65441
86,58,164,0.00224149,-0.790105
358,319,13,0.00224117,-0.974678
177,154,97,0.00223751,-0.586842
37,33,28,0.00223433,-0.546764
46,42,81,0.00223429,-0.605104
34,30,126,0.00223391,-0.594643
83,78,2,0.00223211,-0.825445
8,4,335,0.002232,-0.52885
346,332,46,0.00223191,-0.885197
106,97,7,0.00222712,-0.850199
268,245,91,0.00222632,-0.556215
717,687,70,0.00222318,-0.634127
17,11,339,0.00221776,-0.630296
51,30,2,0.00221605,-0.91342
358,323,13,0.00221285,-0.974678
319,317,125,0.00221181,-0.477383
717,708,73,0.00220773,-0.610869
254,230,73,0.00220521,-0.620796
86,50,164,0.00220486,-0.790105
56,44,1,0.00220269,-0.98357
62,38,1,0.00220238,-0.89046
21,17,256,0.00220198,-0.575335
72,52,125,0.00219999,-0.664855
360,352,80,0.00219287,-0.446996
91,84,28,0.00219114,-0.32133
63,46,2,0.00218788,-0.909565
179,164,14,0.00218317,-0.970714
135,107,127,0.00218268,-0.684972
42,36,320,0.00218265,-0.456932
177,156,97,0.00216957,-0.586842
268,247,91,0.00216823,-0.556215
346,312,46,0.00216655,-0.885197
72,49,125,0.00216549,-0.664855
51,44,2,0.00216311,-0.91342
381,357,97,0.00216258,-0.709646
367,358,52,0.00216236,-0.759513
137,134,97,0.00216166,-0.350648
24,18,331,0.00216125,-0.634925
59,50,6,0.00216049,-0.937052
254,240,73,0.00215359,-0.620796
177,160,97,0.00214942,-0.586842
52,42,5,0.00214816,-0.909692
346,325,46,0.00214143,-0.885197
135,101,127,0.00213743,-0.684972
7,2,748,0.00213169,-0.58456
268,251,91,0.00213144,-0.556215
717,709,73,0.00213096,-0.610804
93,86,11,0.00212891,-0.861334
76,66,1,0.00212662,-0.85602
358,322,13,0.00212612,-0.974678
409,394,1,0.00212273,-1
358,339,13,0.00212267,-0.974678
65,58,33,0.00212152,-0.75035
62,43,2,0.00212057,-0.870415
72,41,126,0.00211994,-0.652482
745,735,55,0.00211877,-0.650628
101,86,1,0.00211702,-0.83701
254,223,73,0.00211283,-0.620796
381,350,97,0.00211154,-0.709646
109,107,45,0.00211026,-0.370439
254,234,73,0.00210945,-0.620796
177,148,97,0.00210936,-0.586842
254,247,73,0.0021076,-0.620796
561,548,1,0.00209979,-1
534,510,73,0.00209915,-0.606727
163,133,113,0.00209887,-0.622331
31,21,235,0.00209851,-0.591662
58,50,2,0.00209376,-0.915595
177,146,97,0.00209315,-0.586842
163,132,102,0.00209002,-0.687065
351,338,1,0.00208871,-1
137,135,99,0.0020879,-0.354974
100,93,95,0.00208522,-0.491799
268,239,91,0.00208454,-0.556215
97,92,1,0.00208333,-0.88884
99,94,4,0.00208261,-0.72311
346,310,46,0.00208102,-0.885197
358,333,13,0.00208069,-0.974678
59,44,6,0.00207937,-0.937052
87,77,15,0.00207342,-0.576246
268,237,91,0.00207088,-0.556215
72,43,125,0.00206873,-0.664855
72,51,125,0.00206855,-0.664855
86,43,163,0.00206643,-0.789693
63,57,2,0.00206636,-0.909565
135,120,128,0.00206489,-0.685623
62,36,1,0.00206419,-0.89046
106,94,8,0.00206259,-0.744784
717,693,74,0.0020619,-0.603188
62,42,2,0.00205837,-0.870415
45,31,113,0.00205727,-0.58917
86,71,164,0.00205688,-0.790105
442,430,1,0.00205556,-1
35,29,404,0.00205475,-0.551316
24,1,130,0.00205242,-0.668791
436,412,61,0.00205118,-0.550883
745,715,62,0.00205005,-0.586767
241,238,119,0.00204958,-0.391481
58,52,3,0.00204908,-0.914063
254,231,73,0.00204821,-0.620796
346,318,46,0.00204819,-0.885197
76,52,1,0.00204816,-0.85602
87,72,15,0.00204594,-0.576246
59,49,6,0.00204527,-0.937052
177,171,97,0.00204446,-0.586842
66,56,3,0.00204426,-0.869017
268,246,91,0.00204334,-0.556215
58,49,3,0.00204284,-0.914063
177,155,97,0.00203666,-0.586842
86,59,161,0.00203638,-0.789104
163,149,102,0.00203605,-0.687065
346,324,46,0.00203605,-0.885197
135,99,127,0.00203587,-0.684972
72,55,124,0.00203323,-0.662981
367,347,52,0.00203323,-0.759513
101,85,1,0.00203125,-0.83701
268,262,91,0.00203085,-0.556215
163,143,102,0.00202809,-0.687065
254,225,73,0.00202709,-0.620796
533,521,1,0.00202703,-1
715,703,1,0.00202703,-1
99,93,4,0.0020269,-0.72311
97,86,1,0.00202652,-0.88884
367,357,52,0.00202501,-0.759513
48,25,38,0.002025,-0.537522
381,346,97,0.00202416,-0.709646
23,19,106,0.00201962,-0.419089
525,521,2,0.00201833,-0.91405
346,329,46,0.00201647,-0.885197
86,44,164,0.00201646,-0.790105
434,430,2,0.00201363,-0.920935
534,503,73,0.00201132,-0.606727
254,219,73,0.00200854,-0.620796
179,163,14,0.00200483,-0.970714
62,29,1,0.00200413,-0.89046
163,128,102,0.00200364,-0.687065
16,12,118,0.00200229,-0.406097
21,15,421,0.00199956,-0.571983
367,351,52,0.00199939,-0.759513
65,49,33,0.00199938,-0.75035
38,34,285,0.00199799,-0.434593
163,156,102,0.0019969,-0.687065
381,358,97,0.00199564,-0.709646
381,361,97,0.00199562,-0.709646
72,37,127,0.00199389,-0.65441
31,27,106,0.00199329,-0.459883
99,86,3,0.00199329,-0.89553
56,50,1,0.00199219,-0.98357
87,71,15,0.00199162,-0.576246
254,233,73,0.00199146,-0.620796
381,352,97,0.0019908,-0.709646
100,77,95,0.00198995,-0.481526
135,108,127,0.0019889,-0.684972
86,49,164,0.00198879,-0.790105
150,147,144,0.00198825,-0.322669
381,367,97,0.00198818,-0.709646
241,239,119,0.00198754,-0.391481
15,11,36,0.00198618,-0.62683
106,86,7,0.00198435,-0.850199
351,340,1,0.00198198,-1
28,22,439,0.00197961,-0.58827
81,80,33,0.0019774,-0.644588
717,686,74,0.00197707,-0.603188
86,73,8,0.00197591,-0.735533
59,42,6,0.00197397,-0.937052
150,148,144,0.00197183,-0.322669
63,50,3,0.00197151,-0.893993
358,351,13,0.00196854,-0.974678
177,142,97,0.0019669,-0.586842
228,224,63,0.00196638,-0.497927
436,413,61,0.00196598,-0.550883
745,736,54,0.00196397,-0.659109
63,43,3,0.00196229,-0.893993
72,66,123,0.00196104,-0.675625
17,12,176,0.00196085,-0.518765
17,10,346,0.00195826,-0.626933
86,45,164,0.00195781,-0.790105
93,77,11,0.00195568,-0.861334
534,511,73,0.0019553,-0.606727
534,505,73,0.00195338,-0.606727
360,346,80,0.00195252,-0.446996
360,336,81,0.00195211,-0.442582
62,52,2,0.00195193,-0.870415
48,32,38,0.00194643,-0.537522
51,35,2,0.00194631,-0.91342
100,83,95,0.00194568,-0.481526
100,87,94,0.00194295,-0.486616
346,303,46,0.00194265,-0.885197
534,514,73,0.00194255,-0.606727
45,15,117,0.00194082,-0.602114
62,30,1,0.00193993,-0.89046
268,233,91,0.00193707,-0.556215
360,337,80,0.00193684,-0.446996
351,344,1,0.00193565,-1
436,416,61,0.00193358,-0.550883
11,7,1072,0.00193271,-0.446354
358,316,13,0.0019327,-0.974678
31,17,242,0.00193239,-0.594279
97,85,1,0.00193142,-0.88884
436,405,61,0.00193079,-0.550883
62,55,2,0.0019294,-0.870415
436,422,61,0.00192735,-0.550883
38,30,104,0.00192734,-0.511191
59,45,6,0.00192342,-0.937052
86,48,159,0.00192272,-0.793863
42,35,303,0.0019224,-0.476535
24,14,295,0.00192223,-0.569432
317,315,2,0.00192185,-0.810615
534,499,73,0.00192051,-0.606727
99,85,3,0.00192021,-0.89553
45,25,116,0.00191969,-0.598836
106,85,7,0.00191929,-0.850199
72,50,125,0.0019175,-0.664855
51,31,2,0.00191735,-0.91342
76,50,1,0.00191683,-0.85602
38,29,113,0.00191669,-0.511339
24,17,339,0.00191635,-0.63474
7,3,633,0.00191551,-0.521206
367,359,52,0.00191267,-0.759513
717,688,74,0.00191232,-0.603188
121,119,1,0.00190992,-0.99732
254,237,73,0.00190542,-0.620796
745,721,63,0.00190507,-0.578938
45,21,118,0.00190373,-0.605156
29,25,17,0.00190187,-0.638729
717,694,74,0.00190116,-0.603188
31,11,224,0.00190056,-0.604038
60,38,1,0.00189918,-0.91322
534,520,73,0.00189765,-0.606727
179,169,14,0.00189487,-0.970714
